mergeName,partyKey,canonicalName,name,abbrev,aka,sector,year,congress,votes,percentage,seats,nomineeNames,reps,representatives_status,status,notes,source_url,note_type,status_flag,ui_red_flag,verification_note,membership_notes,reps_source
Sanlakas,sanlakas,Sanlakas,Sanlakas,,,,1998,11th Congress,194617,2.13,1,Mario Cruz; Renato Magtubo,Mario Cruz; Renato Magtubo,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:1998_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Cooperative NATCCO Network Party,cooperative-natcco-network-party,Cooperative NATCCO Network Party,Cooperative NATCCO Network Party,,Coop-NATCCO; Cooperative NATCCO Network Party; Cooperative NATCCO Network Partylist,Energy / Cooperatives,1998,11th Congress,189802,2.07,1,Cresente Paez,Cresente Paez,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:1998_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Philippine Coconut Producers Federation,philippine-coconut-producers-federation,Philippine Coconut Producers Federation,Philippine Coconut Producers Federation,,,Agriculture / Farmers,1998,11th Congress,186388,2.04,1,Emerito Calderon,Emerito Calderon,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:1998_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Bayan Muna,bayan-muna,Bayan Muna,Bayan Muna,,,,2001,12th Congress,1708253,26.19,3,Crispin Beltran; Liza Maza; Satur Ocampo; Joel Virador; Siegfried Deduro,Crispin Beltran; Liza Maza; Satur Ocampo; Joel Virador; Siegfried Deduro,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,"Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster. | Crispin Beltran and Liza Maza resigned on November 1, 2003; Joel Virador and Siegfried Deduro succeeded them on November 17, 2003.",https://en.wikipedia.org/wiki/Template:2001_Philippine_House_party-list_election_results,membership_change,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,"Crispin Beltran and Liza Maza resigned on November 1, 2003; Joel Virador and Siegfried Deduro succeeded them on November 17, 2003.",Congress membership list / party page cross-check
Association of Philippine Electric Cooperatives,association-of-philippine-electric-cooperatives,Association of Philippine Electric Cooperatives,Association of Philippine Electric Cooperatives,,APEC; APEC Partylist; Association of Philippine Electric Cooperatives,Energy / Cooperatives,2001,12th Congress,802060,12.30,3,Sunny Rose Madamba; Ernesto Pablo; Edgar Valdez,Sunny Rose Madamba; Ernesto Pablo; Edgar Valdez,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2001_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Akbayan,akbayan,Akbayan,Akbayan,,Akbayan Citizens Action Party; Akbayan Citizens' Action Party; Akbayan Party-list; Akbayan Partylist,,2001,12th Congress,377852,5.79,2,Etta Rosales; Mario Aguja,Etta Rosales; Mario Aguja,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2001_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Luzon Farmers Party,luzon-farmers-party,Luzon Farmers Party,Luzon Farmers Party,,,Agriculture / Farmers,2001,12th Congress,330282,5.06,1,,,NEEDS_OFFICIAL_ROSTER_RECHECK,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2001_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Not filled: needs official House roster verification for this Congress row
Citizens' Battle Against Corruption,citizens-battle-against-corruption,Citizens' Battle Against Corruption,Citizens' Battle Against Corruption,,CIBAC; Citizens Battle Against Corruption; Citizens' Battle Against Corruption,Anti-crime / Governance,2001,12th Congress,323810,4.96,1,Joel Villanueva; Maria Blanca Kim Bernardo-Lokin,Joel Villanueva; Maria Blanca Kim Bernardo-Lokin,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2001_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Buhay Hayaan Yumabong,buhay-hayaan-yumabong,Buhay Hayaan Yumabong,Buhay Hayaan Yumabong,,Buhay; Buhay Party-List; Buhay Partylist; Buhay Hayaan Yumabong,,2001,12th Congress,290760,4.46,1,Christian Señeres; Rene Velarde,Christian Señeres; Rene Velarde,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2001_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Anak Mindanao,anak-mindanao,Anak Mindanao,Anak Mindanao,,,Regional,2001,12th Congress,252051,3.86,1,Mujiv Hataman,Mujiv Hataman,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2001_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
"Alyansang Bayanihan ng mga Magsasaka, Manggagawang Bukid at Mangingisda",alyansang-bayanihan-ng-mga-magsasaka-manggagawang-bukid-at-mangingisda,"Alyansang Bayanihan ng mga Magsasaka, Manggagawang Bukid at Mangingisda","Alyansang Bayanihan ng mga Magsasaka, Manggagawang Bukid at Mangingisda",,,Agriculture / Farmers,2001,12th Congress,242199,3.71,1,Dioscoro Granada,Dioscoro Granada,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2001_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Philippine Coconut Producers Federation,philippine-coconut-producers-federation,Philippine Coconut Producers Federation,Philippine Coconut Producers Federation,,,Agriculture / Farmers,2001,12th Congress,229165,3.51,1,Emerito Calderon,Emerito Calderon,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2001_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Partido ng Manggagawa,partido-ng-manggagawa,Partido ng Manggagawa,Partido ng Manggagawa,,,Labor / Workers / OFW,2001,12th Congress,216823,3.32,1,Renato Magtubo,Renato Magtubo,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2001_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Sanlakas,sanlakas,Sanlakas,Sanlakas,,,,2001,12th Congress,151017,2.32,1,Jose Virgilio Bautista,Jose Virgilio Bautista,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2001_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Abanse! Pinay,abanse-pinay,Abanse! Pinay,Abanse! Pinay,,,Women,2001,12th Congress,135211,2.07,1,Patricia Sarenas,Patricia Sarenas,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2001_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Bayan Muna,bayan-muna,Bayan Muna,Bayan Muna,,,,2004,13th Congress,1203305,9.46,3,Teodoro Casiño; Satur Ocampo; Joel Virador,Teodoro Casiño; Satur Ocampo; Joel Virador,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Association of Philippine Electric Cooperatives,association-of-philippine-electric-cooperatives,Association of Philippine Electric Cooperatives,Association of Philippine Electric Cooperatives,,APEC; APEC Partylist; Association of Philippine Electric Cooperatives,Energy / Cooperatives,2004,13th Congress,934995,7.35,3,Sunny Rose Madamba; Ernesto Pablo; Edgar Valdez,Sunny Rose Madamba; Ernesto Pablo; Edgar Valdez,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Akbayan,akbayan,Akbayan,Akbayan,,Akbayan Citizens Action Party; Akbayan Citizens' Action Party; Akbayan Party-list; Akbayan Partylist,,2004,13th Congress,852473,6.70,3,Etta Rosales; Mario Aguja; Risa Hontiveros,Etta Rosales; Mario Aguja; Risa Hontiveros,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Buhay Hayaan Yumabong,buhay-hayaan-yumabong,Buhay Hayaan Yumabong,Buhay Hayaan Yumabong,,Buhay; Buhay Party-List; Buhay Partylist; Buhay Hayaan Yumabong,,2004,13th Congress,705730,5.55,2,Christian Señeres; Rene Velarde,Christian Señeres; Rene Velarde,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Anakpawis,anakpawis,Anakpawis,Anakpawis,,,,2004,13th Congress,538396,4.23,2,Crispin Beltran; Rafael V. Mariano,Crispin Beltran; Rafael V. Mariano,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Citizens' Battle Against Corruption,citizens-battle-against-corruption,Citizens' Battle Against Corruption,Citizens' Battle Against Corruption,,CIBAC; Citizens Battle Against Corruption; Citizens' Battle Against Corruption,Anti-crime / Governance,2004,13th Congress,495193,3.89,2,Joel Villanueva,Joel Villanueva,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Gabriela Women's Party,gabriela-women-s-party,Gabriela Women's Party,Gabriela Women's Party,,Gabriela; GABRIELA; Gabriela Women's Party-list,Women,2004,13th Congress,464586,3.65,2,Liza Maza,Liza Maza,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Partido ng Manggagawa,partido-ng-manggagawa,Partido ng Manggagawa,Partido ng Manggagawa,,,Labor / Workers / OFW,2004,13th Congress,448072,3.52,2,Renato Magtubo,Renato Magtubo,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Butil Farmers Party,butil-farmers-party,Butil Farmers Party,Butil Farmers Party,,,Agriculture / Farmers,2004,13th Congress,429259,3.37,2,Benjamin Cruz; Leonila Chavez,Benjamin Cruz; Leonila Chavez,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,"Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster. | Benjamin Cruz died on October 15, 2004; Leonila Chavez succeeded him.",https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,membership_change,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,"Benjamin Cruz died on October 15, 2004; Leonila Chavez succeeded him.",Congress membership list / party page cross-check
Alliance of Volunteer Educators,alliance-of-volunteer-educators,Alliance of Volunteer Educators,Alliance of Volunteer Educators,,,,2004,13th Congress,343498,2.70,1,Eulogio Magsaysay,Eulogio Magsaysay,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Alagad,alagad,Alagad,Alagad,,,,2004,13th Congress,340977,2.68,1,Rodante Marcoleta,Rodante Marcoleta,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Veterans Freedom Party,veterans-freedom-party,Veterans Freedom Party,Veterans Freedom Party,,,,2004,13th Congress,340759,2.68,1,Ernesto Gidaya; Estrella de Leon Santos,Ernesto Gidaya; Estrella de Leon Santos,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,"Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster. | Ernesto Gidaya died on January 29, 2007; Estrella de Leon Santos took office on January 31, 2007.",https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,membership_change,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,"Ernesto Gidaya died on January 29, 2007; Estrella de Leon Santos took office on January 31, 2007.",Congress membership list / party page cross-check
Cooperative NATCCO Network Party,cooperative-natcco-network-party,Cooperative NATCCO Network Party,Cooperative NATCCO Network Party,,Coop-NATCCO; Cooperative NATCCO Network Party; Cooperative NATCCO Network Partylist,Energy / Cooperatives,2004,13th Congress,270950,2.13,1,Guillermo Cua,Guillermo Cua,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Anak Mindanao,anak-mindanao,Anak Mindanao,Anak Mindanao,,,Regional,2004,13th Congress,269750,2.12,1,Mujiv Hataman,Mujiv Hataman,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Ang Laban ng Indigong Filipino,ang-laban-ng-indigong-filipino,Ang Laban ng Indigong Filipino,Ang Laban ng Indiginong Filipino,,,,2004,13th Congress,269345,2.12,1,Acmad Tomawis,Acmad Tomawis,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
An Waray,an-waray,An Waray,An Waray,,An Waray Party-list; An Waray Partylist,Regional,2004,13th Congress,268164,2.11,1,Bem Noel,Bem Noel,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2004_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Buhay Hayaan Yumabong,buhay-hayaan-yumabong,Buhay Hayaan Yumabong,Buhay Party-List,,Buhay; Buhay Partylist; Buhay Hayaan Yumabong,,2007,14th Congress,1169338,7.62,3,Maria Carissa Coscolluela; Irwin Tieng; Rene Velarde,Maria Carissa Coscolluela; Irwin Tieng; Rene Velarde,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2007_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Bayan Muna,bayan-muna,Bayan Muna,Bayan Muna,,,,2007,14th Congress,979189,6.38,3,Teodoro Casiño; Satur Ocampo; Neri Colmenares,Teodoro Casiño; Satur Ocampo; Neri Colmenares,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2007_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Citizens' Battle Against Corruption,citizens-battle-against-corruption,Citizens' Battle Against Corruption,Citizens' Battle Against Corruption,,CIBAC; Citizens Battle Against Corruption; Citizens' Battle Against Corruption,Anti-crime / Governance,2007,14th Congress,755735,4.93,2,Joel Villanueva; Cinchona Cruz-Gonzales,Joel Villanueva; Cinchona Cruz-Gonzales,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2007_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
